Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,League
vs Toulouse,26,25.9,51.6,34,374.0,3060,34.0,46.0,24.0,70.0,42.0,4.0,4.0,62.0,3.0,48.1,44.9,33.4,78.3,607.0,1343.0,1.35,0.71,2.06,1.24,1.94,1.41,0.98,2.39,1.32,2.3,Ligue 1 2023-2024
vs Ajax,35,25.2,40.4,34,374.0,3060,34.0,60.0,44.0,104.0,58.0,2.0,3.0,54.0,0.0,52.5,50.2,39.2,89.4,530.0,1070.0,1.76,1.29,3.06,1.71,3.0,1.55,1.15,2.7,1.48,2.63,Eredivisie 2023-2024
vs Almere City,29,25.0,56.0,34,374.0,3060,34.0,58.0,47.0,105.0,55.0,3.0,4.0,50.0,3.0,55.9,52.8,43.9,96.7,556.0,1192.0,1.71,1.38,3.09,1.62,3.0,1.64,1.29,2.93,1.55,2.85,Eredivisie 2023-2024
vs AZ Alkmaar,33,25.0,45.5,34,374.0,3060,34.0,38.0,22.0,60.0,34.0,4.0,4.0,53.0,0.0,39.7,36.6,27.1,63.7,478.0,1146.0,1.12,0.65,1.76,1.0,1.65,1.17,0.8,1.97,1.08,1.87,Eredivisie 2023-2024
vs Excelsior,27,25.3,54.4,34,374.0,3060,34.0,72.0,53.0,125.0,70.0,2.0,2.0,51.0,2.0,58.2,56.7,43.6,100.3,731.0,1695.0,2.12,1.56,3.68,2.06,3.62,1.71,1.28,2.99,1.67,2.95,Eredivisie 2023-2024
vs Feyenoord,25,25.0,38.2,34,374.0,3060,34.0,26.0,22.0,48.0,25.0,1.0,1.0,66.0,3.0,26.2,25.4,20.4,45.8,351.0,742.0,0.76,0.65,1.41,0.74,1.38,0.77,0.6,1.37,0.75,1.35,Eredivisie 2023-2024
vs Fortuna Sittard,32,24.9,56.8,34,374.0,3060,34.0,54.0,35.0,89.0,52.0,2.0,2.0,49.0,4.0,43.4,41.8,30.3,72.1,590.0,1486.0,1.59,1.03,2.62,1.53,2.56,1.28,0.89,2.17,1.23,2.12,Eredivisie 2023-2024
vs Go Ahead Eag,23,25.1,55.1,34,374.0,3060,34.0,45.0,36.0,81.0,43.0,2.0,2.0,39.0,2.0,55.6,54.0,43.3,97.3,735.0,1498.0,1.32,1.06,2.38,1.26,2.32,1.64,1.27,2.91,1.59,2.86,Eredivisie 2023-2024
vs Heerenveen,26,25.2,50.3,34,374.0,3060,34.0,68.0,43.0,111.0,64.0,4.0,4.0,45.0,3.0,53.4,50.3,38.0,88.4,619.0,1403.0,2.0,1.26,3.26,1.88,3.15,1.57,1.12,2.69,1.48,2.6,Eredivisie 2023-2024
vs Heracles Almelo,27,24.9,53.7,34,374.0,3060,34.0,73.0,58.0,131.0,68.0,5.0,5.0,49.0,3.0,68.1,64.3,52.7,117.0,693.0,1584.0,2.15,1.71,3.85,2.0,3.71,2.0,1.55,3.55,1.89,3.44,Eredivisie 2023-2024
vs NEC Nijmegen,28,25.0,51.6,34,374.0,3060,34.0,51.0,36.0,87.0,46.0,5.0,6.0,64.0,3.0,60.0,55.4,45.2,100.5,748.0,1616.0,1.5,1.06,2.56,1.35,2.41,1.77,1.33,3.09,1.63,2.96,Eredivisie 2023-2024
vs PSV Eindhoven,29,25.1,35.5,34,374.0,3060,34.0,19.0,12.0,31.0,16.0,3.0,3.0,54.0,5.0,28.2,25.9,18.0,43.8,393.0,767.0,0.56,0.35,0.91,0.47,0.82,0.83,0.53,1.36,0.76,1.29,Eredivisie 2023-2024
vs RKC Waalwijk,26,25.1,54.7,34,374.0,3060,34.0,54.0,37.0,91.0,49.0,5.0,7.0,32.0,3.0,57.6,52.4,39.5,91.9,735.0,1649.0,1.59,1.09,2.68,1.44,2.53,1.7,1.16,2.86,1.54,2.7,Eredivisie 2023-2024
vs Sparta R'dam,26,25.0,53.0,34,374.0,3060,34.0,47.0,34.0,81.0,44.0,3.0,5.0,53.0,3.0,52.5,48.4,37.6,86.0,683.0,1679.0,1.38,1.0,2.38,1.29,2.29,1.54,1.11,2.65,1.42,2.53,Eredivisie 2023-2024
vs Twente,26,25.0,43.8,34,374.0,3060,34.0,34.0,20.0,54.0,29.0,5.0,6.0,68.0,5.0,36.7,31.9,25.0,56.9,475.0,1000.0,1.0,0.59,1.59,0.85,1.44,1.08,0.74,1.81,0.94,1.67,Eredivisie 2023-2024
vs Utrecht,35,25.0,51.6,34,374.0,3060,34.0,46.0,32.0,78.0,41.0,5.0,6.0,49.0,4.0,48.0,43.4,34.6,78.0,565.0,1232.0,1.35,0.94,2.29,1.21,2.15,1.41,1.02,2.43,1.28,2.29,Eredivisie 2023-2024
vs Vitesse,31,25.0,49.7,34,374.0,3060,34.0,73.0,58.0,131.0,68.0,5.0,7.0,46.0,2.0,64.2,58.7,48.9,107.6,687.0,1368.0,2.15,1.71,3.85,2.0,3.71,1.89,1.44,3.32,1.73,3.16,Eredivisie 2023-2024
vs Volendam,37,25.2,58.6,34,374.0,3060,34.0,88.0,71.0,159.0,87.0,1.0,1.0,42.0,5.0,74.6,73.8,60.5,134.3,819.0,1840.0,2.59,2.09,4.68,2.56,4.65,2.19,1.78,3.97,2.17,3.95,Eredivisie 2023-2024
vs Zwolle,29,25.2,51.0,34,374.0,3060,34.0,63.0,48.0,111.0,55.0,8.0,10.0,55.0,1.0,62.4,54.7,43.9,98.6,672.0,1485.0,1.85,1.41,3.26,1.62,3.03,1.84,1.29,3.13,1.61,2.9,Eredivisie 2023-2024
vs Arouca,31,26.2,46.3,34,374.0,3060,34.0,49.0,37.0,86.0,42.0,7.0,9.0,96.0,10.0,49.5,42.6,35.3,77.9,506.0,1148.0,1.44,1.09,2.53,1.24,2.32,1.46,1.04,2.49,1.25,2.29,Primeira Liga 2023-2024
vs Benfica,34,26.2,40.9,34,374.0,3060,34.0,28.0,14.0,42.0,24.0,4.0,7.0,99.0,8.0,32.1,27.0,20.6,47.6,520.0,958.0,0.82,0.41,1.24,0.71,1.12,0.94,0.61,1.55,0.79,1.4,Primeira Liga 2023-2024
vs Boavista,23,25.9,51.8,34,374.0,3060,34.0,61.0,43.0,104.0,57.0,4.0,6.0,82.0,6.0,53.9,49.5,38.8,88.3,560.0,1355.0,1.79,1.26,3.06,1.68,2.94,1.58,1.14,2.73,1.46,2.6,Primeira Liga 2023-2024
vs Braga,25,26.1,43.2,34,374.0,3060,34.0,48.0,33.0,81.0,42.0,6.0,7.0,80.0,4.0,47.7,42.4,34.8,77.2,538.0,1012.0,1.41,0.97,2.38,1.24,2.21,1.4,1.02,2.43,1.25,2.27,Primeira Liga 2023-2024
vs Casa Pia,32,26.3,56.2,34,374.0,3060,34.0,50.0,40.0,90.0,49.0,1.0,1.0,63.0,2.0,43.1,42.3,36.2,78.5,600.0,1479.0,1.47,1.18,2.65,1.44,2.62,1.27,1.07,2.33,1.24,2.31,Primeira Liga 2023-2024
vs Chaves,31,26.1,56.2,34,374.0,3060,34.0,72.0,48.0,120.0,66.0,6.0,8.0,82.0,6.0,60.5,54.8,38.4,93.2,597.0,1454.0,2.12,1.41,3.53,1.94,3.35,1.78,1.13,2.91,1.61,2.74,Primeira Liga 2023-2024
vs Estoril,31,26.4,51.3,34,374.0,3060,34.0,55.0,41.0,96.0,53.0,2.0,3.0,91.0,4.0,51.7,49.5,39.3,88.8,517.0,1313.0,1.62,1.21,2.82,1.56,2.76,1.52,1.16,2.68,1.46,2.61,Primeira Liga 2023-2024
vs Estrela,34,26.0,53.0,34,374.0,3060,34.0,52.0,35.0,87.0,50.0,2.0,4.0,75.0,3.0,49.4,46.3,34.5,80.8,577.0,1253.0,1.53,1.03,2.56,1.47,2.5,1.45,1.01,2.47,1.36,2.38,Primeira Liga 2023-2024
vs Famalicão,27,26.2,52.9,34,374.0,3060,34.0,39.0,23.0,62.0,36.0,3.0,8.0,92.0,7.0,45.7,39.3,26.7,66.0,488.0,1256.0,1.15,0.68,1.82,1.06,1.74,1.34,0.79,2.13,1.16,1.94,Primeira Liga 2023-2024
vs Farense,25,26.0,57.6,34,374.0,3060,34.0,50.0,32.0,82.0,44.0,6.0,7.0,74.0,2.0,55.6,50.3,39.8,90.1,696.0,1634.0,1.47,0.94,2.41,1.29,2.24,1.64,1.17,2.81,1.48,2.65,Primeira Liga 2023-2024
vs Gil Vicente FC,31,26.1,50.7,34,374.0,3060,34.0,50.0,31.0,81.0,45.0,5.0,7.0,65.0,6.0,49.4,43.8,31.2,74.9,554.0,1326.0,1.47,0.91,2.38,1.32,2.24,1.45,0.92,2.37,1.29,2.2,Primeira Liga 2023-2024
vs Moreirense,29,26.1,53.8,34,374.0,3060,34.0,34.0,27.0,61.0,33.0,1.0,1.0,79.0,5.0,32.5,31.7,24.5,56.3,522.0,1365.0,1.0,0.79,1.79,0.97,1.76,0.96,0.72,1.68,0.93,1.65,Primeira Liga 2023-2024
vs Portimonense,31,26.3,55.3,34,374.0,3060,34.0,67.0,55.0,122.0,62.0,5.0,6.0,72.0,4.0,56.7,52.6,43.9,96.5,587.0,1523.0,1.97,1.62,3.59,1.82,3.44,1.67,1.29,2.96,1.55,2.84,Primeira Liga 2023-2024
vs Porto,32,26.2,36.9,34,374.0,3060,34.0,25.0,16.0,41.0,21.0,4.0,6.0,126.0,10.0,28.5,24.3,19.9,44.2,364.0,665.0,0.74,0.47,1.21,0.62,1.09,0.84,0.59,1.42,0.71,1.3,Primeira Liga 2023-2024
vs Rio Ave,33,26.2,51.3,34,374.0,3060,34.0,42.0,29.0,71.0,40.0,2.0,4.0,92.0,3.0,42.5,39.3,30.9,70.2,507.0,1189.0,1.24,0.85,2.09,1.18,2.03,1.25,0.91,2.16,1.15,2.06,Primeira Liga 2023-2024
vs Sporting CP,29,26.1,40.9,34,374.0,3060,34.0,29.0,17.0,46.0,25.0,4.0,4.0,92.0,7.0,26.4,23.2,18.1,41.3,398.0,843.0,0.85,0.5,1.35,0.74,1.24,0.78,0.53,1.31,0.68,1.22,Primeira Liga 2023-2024
vs Vitória,27,26.3,51.4,34,374.0,3060,34.0,37.0,26.0,63.0,32.0,5.0,6.0,99.0,8.0,39.3,34.6,28.2,62.8,475.0,1122.0,1.09,0.76,1.85,0.94,1.71,1.15,0.83,1.98,1.02,1.85,Primeira Liga 2023-2024
vs Vizela,31,26.4,50.4,34,374.0,3060,34.0,64.0,39.0,103.0,59.0,5.0,6.0,85.0,5.0,51.4,46.9,36.4,83.4,562.0,1337.0,1.88,1.15,3.03,1.74,2.88,1.51,1.07,2.58,1.38,2.45,Primeira Liga 2023-2024
vs Birmingham City,30,25.8,55.9,46,506.0,4140,46.0,63.0,51.0,114.0,63.0,0.0,0.0,86.0,1.0,60.5,60.5,47.0,107.5,780.0,1948.0,1.37,1.11,2.48,1.37,2.48,1.32,1.02,2.34,1.32,2.34,Championship 2023-2024
vs Blackburn,31,26.0,48.4,46,506.0,4140,46.0,71.0,44.0,115.0,67.0,4.0,6.0,92.0,2.0,65.0,60.3,46.0,106.3,937.0,1791.0,1.54,0.96,2.5,1.46,2.41,1.41,1.0,2.41,1.31,2.31,Championship 2023-2024
vs Bristol City,26,26.0,52.2,46,506.0,4140,46.0,49.0,37.0,86.0,45.0,4.0,5.0,80.0,3.0,54.6,50.6,40.2,90.8,790.0,1729.0,1.07,0.8,1.87,0.98,1.78,1.19,0.87,2.06,1.1,1.97,Championship 2023-2024
vs Cardiff City,34,25.9,54.5,46,506.0,4140,46.0,69.0,48.0,117.0,67.0,2.0,4.0,84.0,1.0,69.9,67.1,48.9,116.0,787.0,1889.0,1.5,1.04,2.54,1.46,2.5,1.52,1.06,2.58,1.46,2.52,Championship 2023-2024
vs Coventry City,26,25.8,48.6,46,506.0,4140,46.0,55.0,40.0,95.0,52.0,3.0,3.0,106.0,2.0,55.9,53.5,40.8,94.3,894.0,1737.0,1.2,0.87,2.07,1.13,2.0,1.21,0.89,2.1,1.16,2.05,Championship 2023-2024
vs Huddersfield,33,26.0,60.0,46,506.0,4140,46.0,75.0,60.0,135.0,72.0,3.0,4.0,91.0,0.0,62.9,59.7,47.7,107.4,915.0,2028.0,1.63,1.3,2.93,1.57,2.87,1.37,1.04,2.4,1.3,2.33,Championship 2023-2024
vs Hull City,33,26.2,44.6,46,506.0,4140,46.0,60.0,41.0,101.0,57.0,3.0,3.0,101.0,3.0,51.9,49.5,34.8,84.4,857.0,1575.0,1.3,0.89,2.2,1.24,2.13,1.13,0.76,1.88,1.08,1.83,Championship 2023-2024
vs Ipswich Town,32,25.9,47.0,46,506.0,4140,46.0,51.0,34.0,85.0,49.0,2.0,3.0,81.0,4.0,46.7,44.3,32.4,76.8,648.0,1462.0,1.11,0.74,1.85,1.07,1.8,1.01,0.71,1.72,0.96,1.67,Championship 2023-2024
vs Leeds United,33,26.1,41.8,46,506.0,4140,46.0,41.0,31.0,72.0,40.0,1.0,1.0,120.0,4.0,38.0,37.2,29.2,66.5,639.0,1259.0,0.89,0.67,1.57,0.87,1.54,0.83,0.64,1.46,0.81,1.45,Championship 2023-2024
vs Leicester City,27,26.0,38.4,46,506.0,4140,46.0,40.0,23.0,63.0,40.0,0.0,1.0,117.0,4.0,42.7,41.9,30.3,72.3,632.0,1229.0,0.87,0.5,1.37,0.87,1.37,0.93,0.66,1.59,0.91,1.57,Championship 2023-2024
vs Middlesbrough,35,25.9,47.1,46,506.0,4140,46.0,60.0,39.0,99.0,57.0,3.0,3.0,89.0,2.0,53.8,51.5,40.7,92.2,758.0,1619.0,1.3,0.85,2.15,1.24,2.09,1.17,0.89,2.05,1.12,2.0,Championship 2023-2024
vs Millwall,27,26.0,57.7,46,506.0,4140,46.0,54.0,37.0,91.0,48.0,6.0,8.0,86.0,2.0,56.0,49.6,38.3,87.9,791.0,1896.0,1.17,0.8,1.98,1.04,1.85,1.22,0.83,2.05,1.08,1.91,Championship 2023-2024
vs Norwich City,31,26.0,50.7,46,506.0,4140,46.0,62.0,40.0,102.0,57.0,5.0,5.0,101.0,3.0,63.4,59.5,47.0,106.5,820.0,1876.0,1.35,0.87,2.22,1.24,2.11,1.38,1.02,2.4,1.29,2.32,Championship 2023-2024
vs Plymouth Argyle,31,26.0,55.0,46,506.0,4140,46.0,66.0,49.0,115.0,64.0,2.0,3.0,86.0,3.0,73.0,70.5,55.8,126.2,942.0,1912.0,1.43,1.07,2.5,1.39,2.46,1.59,1.21,2.8,1.53,2.74,Championship 2023-2024
vs Preston,28,26.0,55.4,46,506.0,4140,46.0,65.0,45.0,110.0,61.0,4.0,4.0,58.0,2.0,60.2,57.1,41.2,98.3,917.0,1800.0,1.41,0.98,2.39,1.33,2.3,1.31,0.89,2.2,1.24,2.14,Championship 2023-2024
vs QPR,30,25.9,53.7,46,506.0,4140,46.0,57.0,44.0,101.0,56.0,1.0,1.0,106.0,4.0,51.0,50.2,40.5,90.7,806.0,1945.0,1.24,0.96,2.2,1.22,2.17,1.11,0.88,1.99,1.09,1.97,Championship 2023-2024
vs Rotherham Utd,35,25.9,62.8,46,506.0,4140,46.0,88.0,52.0,140.0,83.0,5.0,6.0,62.0,1.0,79.4,74.7,56.0,130.7,869.0,2207.0,1.91,1.13,3.04,1.8,2.93,1.73,1.22,2.94,1.62,2.84,Championship 2023-2024
vs Sheffield Weds,33,26.0,56.6,46,506.0,4140,46.0,65.0,46.0,111.0,60.0,5.0,7.0,90.0,2.0,58.6,53.1,40.9,94.0,794.0,1772.0,1.41,1.0,2.41,1.3,2.3,1.27,0.89,2.16,1.15,2.04,Championship 2023-2024
vs Southampton,28,25.9,34.5,46,506.0,4140,46.0,63.0,42.0,105.0,61.0,2.0,3.0,118.0,2.0,49.0,46.7,36.0,82.7,708.0,1194.0,1.37,0.91,2.28,1.33,2.24,1.07,0.78,1.85,1.02,1.8,Championship 2023-2024
vs Stoke City,35,26.0,49.4,46,506.0,4140,46.0,59.0,37.0,96.0,54.0,5.0,6.0,87.0,2.0,57.8,53.1,42.4,95.5,774.0,1527.0,1.28,0.8,2.09,1.17,1.98,1.26,0.92,2.18,1.15,2.08,Championship 2023-2024
vs Sunderland,32,26.0,44.6,46,506.0,4140,46.0,52.0,35.0,87.0,50.0,2.0,3.0,132.0,4.0,50.5,48.1,33.4,81.5,646.0,1404.0,1.13,0.76,1.89,1.09,1.85,1.1,0.73,1.82,1.05,1.77,Championship 2023-2024
vs Swansea City,30,26.1,45.3,46,506.0,4140,46.0,63.0,47.0,110.0,58.0,5.0,5.0,96.0,2.0,67.4,63.4,52.6,116.1,827.0,1579.0,1.37,1.02,2.39,1.26,2.28,1.46,1.14,2.61,1.38,2.52,Championship 2023-2024
vs Watford,27,26.0,48.1,46,506.0,4140,46.0,58.0,36.0,94.0,55.0,3.0,7.0,92.0,1.0,56.8,51.4,36.6,87.9,679.0,1538.0,1.26,0.78,2.04,1.2,1.98,1.24,0.8,2.03,1.12,1.91,Championship 2023-2024
vs West Brom,28,25.8,47.8,46,506.0,4140,46.0,47.0,30.0,77.0,44.0,3.0,7.0,87.0,3.0,50.3,44.6,33.7,78.3,676.0,1498.0,1.02,0.65,1.67,0.96,1.61,1.09,0.73,1.82,0.97,1.7,Championship 2023-2024
vs Aberdeen,25,26.7,51.0,38,418.0,3420,38.0,52.0,32.0,84.0,41.0,11.0,12.0,96.0,4.0,,,,,,,1.37,0.84,2.21,1.08,1.92,,,,,,Scottish Premiership 2023-2024
vs Celtic,34,26.3,30.8,38,418.0,3420,38.0,29.0,20.0,49.0,26.0,3.0,3.0,68.0,5.0,,,,,,,0.76,0.53,1.29,0.68,1.21,,,,,,Scottish Premiership 2023-2024
vs Dundee,29,26.6,56.2,38,418.0,3420,38.0,67.0,46.0,113.0,59.0,8.0,11.0,63.0,8.0,,,,,,,1.76,1.21,2.97,1.55,2.76,,,,,,Scottish Premiership 2023-2024
vs Hearts,30,26.4,45.0,38,418.0,3420,38.0,41.0,26.0,67.0,37.0,4.0,8.0,83.0,3.0,,,,,,,1.08,0.68,1.76,0.97,1.66,,,,,,Scottish Premiership 2023-2024
vs Hibernian,37,26.6,46.9,38,418.0,3420,38.0,55.0,33.0,88.0,48.0,7.0,10.0,82.0,1.0,,,,,,,1.45,0.87,2.32,1.26,2.13,,,,,,Scottish Premiership 2023-2024
vs Kilmarnock,26,26.7,54.9,38,418.0,3420,38.0,40.0,30.0,70.0,38.0,2.0,6.0,65.0,2.0,,,,,,,1.05,0.79,1.84,1.0,1.79,,,,,,Scottish Premiership 2023-2024
vs Livingston,31,26.5,56.4,38,418.0,3420,38.0,68.0,50.0,118.0,64.0,4.0,7.0,52.0,4.0,,,,,,,1.79,1.32,3.11,1.68,3.0,,,,,,Scottish Premiership 2023-2024
vs Motherwell,30,26.7,54.3,38,418.0,3420,38.0,58.0,36.0,94.0,52.0,6.0,8.0,68.0,1.0,,,,,,,1.53,0.95,2.47,1.37,2.32,,,,,,Scottish Premiership 2023-2024
vs Rangers,32,26.5,37.4,38,418.0,3420,38.0,30.0,19.0,49.0,27.0,3.0,4.0,90.0,3.0,,,,,,,0.79,0.5,1.29,0.71,1.21,,,,,,Scottish Premiership 2023-2024
vs Ross County,30,26.7,55.6,38,418.0,3420,38.0,65.0,47.0,112.0,60.0,5.0,7.0,56.0,1.0,,,,,,,1.71,1.24,2.95,1.58,2.82,,,,,,Scottish Premiership 2023-2024
vs St Johnstone,31,26.8,56.4,38,418.0,3420,38.0,53.0,36.0,89.0,46.0,7.0,8.0,56.0,0.0,,,,,,,1.39,0.95,2.34,1.21,2.16,,,,,,Scottish Premiership 2023-2024
vs St Mirren,25,26.4,54.7,38,418.0,3420,38.0,50.0,30.0,80.0,45.0,5.0,8.0,55.0,0.0,,,,,,,1.32,0.79,2.11,1.18,1.97,,,,,,Scottish Premiership 2023-2024
vs Augsburg,34,26.5,58.3,34,374.0,3060,34.0,61.0,46.0,107.0,60.0,1.0,4.0,66.0,0.0,58.7,55.6,45.7,101.3,597.0,1458.0,1.79,1.35,3.15,1.76,3.12,1.73,1.34,3.07,1.64,2.98,Bundesliga 2022-2023
vs Bayern Munich,28,26.6,35.8,34,374.0,3060,34.0,38.0,22.0,60.0,29.0,9.0,10.0,50.0,0.0,37.1,29.7,21.9,51.6,354.0,879.0,1.12,0.65,1.76,0.85,1.5,1.09,0.65,1.74,0.87,1.52,Bundesliga 2022-2023
vs Bochum,26,26.3,53.9,34,374.0,3060,34.0,69.0,40.0,109.0,61.0,8.0,14.0,62.0,2.0,65.7,54.5,39.4,93.9,525.0,1247.0,2.03,1.18,3.21,1.79,2.97,1.93,1.16,3.09,1.6,2.76,Bundesliga 2022-2023
vs Dortmund,30,26.5,41.8,34,374.0,3060,34.0,43.0,31.0,74.0,42.0,1.0,1.0,79.0,5.0,43.2,42.4,33.3,75.7,452.0,1064.0,1.26,0.91,2.18,1.24,2.15,1.27,0.98,2.25,1.25,2.23,Bundesliga 2022-2023
vs Eint Frankfurt,28,26.4,47.1,34,374.0,3060,34.0,51.0,41.0,92.0,49.0,2.0,2.0,78.0,2.0,43.5,41.9,33.6,75.5,435.0,1129.0,1.5,1.21,2.71,1.44,2.65,1.28,0.99,2.27,1.23,2.22,Bundesliga 2022-2023
vs Freiburg,27,26.6,51.9,34,374.0,3060,34.0,44.0,28.0,72.0,39.0,5.0,6.0,80.0,5.0,48.8,44.1,35.2,79.3,527.0,1220.0,1.29,0.82,2.12,1.15,1.97,1.44,1.03,2.47,1.3,2.33,Bundesliga 2022-2023
vs Gladbach,27,26.4,46.3,34,374.0,3060,34.0,54.0,37.0,91.0,48.0,6.0,6.0,66.0,6.0,53.4,48.7,35.1,83.8,600.0,1349.0,1.59,1.09,2.68,1.41,2.5,1.57,1.03,2.6,1.43,2.46,Bundesliga 2022-2023
vs Hertha BSC,32,26.7,58.0,34,374.0,3060,34.0,69.0,51.0,120.0,64.0,5.0,6.0,47.0,1.0,60.0,55.5,46.3,101.8,535.0,1328.0,2.03,1.5,3.53,1.88,3.38,1.76,1.36,3.13,1.63,2.99,Bundesliga 2022-2023
vs Hoffenheim,31,26.6,51.7,34,374.0,3060,34.0,56.0,45.0,101.0,54.0,2.0,3.0,63.0,2.0,51.1,48.7,41.8,90.5,604.0,1338.0,1.65,1.32,2.97,1.59,2.91,1.5,1.23,2.73,1.43,2.66,Bundesliga 2022-2023
vs Köln,27,26.6,50.1,34,374.0,3060,34.0,51.0,37.0,88.0,47.0,4.0,5.0,64.0,4.0,42.6,38.7,31.4,70.1,470.0,1157.0,1.5,1.09,2.59,1.38,2.47,1.25,0.92,2.18,1.14,2.06,Bundesliga 2022-2023
vs Leverkusen,27,26.5,48.0,34,374.0,3060,34.0,47.0,29.0,76.0,40.0,7.0,7.0,95.0,1.0,42.8,37.3,28.8,66.1,481.0,1254.0,1.38,0.85,2.24,1.18,2.03,1.26,0.85,2.11,1.1,1.94,Bundesliga 2022-2023
vs Mainz 05,27,26.6,55.2,34,374.0,3060,34.0,55.0,42.0,97.0,51.0,4.0,8.0,72.0,5.0,53.6,47.5,39.0,86.5,595.0,1279.0,1.62,1.24,2.85,1.5,2.74,1.58,1.15,2.72,1.4,2.54,Bundesliga 2022-2023
vs RB Leipzig,25,26.6,41.9,34,374.0,3060,34.0,39.0,23.0,62.0,32.0,7.0,8.0,81.0,1.0,37.2,30.9,23.5,54.4,424.0,1009.0,1.15,0.68,1.82,0.94,1.62,1.09,0.69,1.79,0.91,1.6,Bundesliga 2022-2023
vs Schalke 04,35,26.6,54.0,34,374.0,3060,34.0,70.0,50.0,120.0,65.0,5.0,6.0,78.0,3.0,57.1,52.5,40.7,93.1,577.0,1240.0,2.06,1.47,3.53,1.91,3.38,1.68,1.2,2.88,1.54,2.74,Bundesliga 2022-2023
vs Stuttgart,30,26.6,49.8,34,374.0,3060,34.0,56.0,39.0,95.0,50.0,6.0,6.0,78.0,1.0,45.2,40.6,32.1,72.7,461.0,1226.0,1.65,1.15,2.79,1.47,2.62,1.33,0.94,2.27,1.19,2.14,Bundesliga 2022-2023
vs Union Berlin,28,26.3,56.2,34,374.0,3060,34.0,38.0,26.0,64.0,31.0,7.0,7.0,61.0,3.0,42.6,37.1,30.5,67.6,525.0,1334.0,1.12,0.76,1.88,0.91,1.68,1.25,0.9,2.15,1.09,1.99,Bundesliga 2022-2023
vs Werder Bremen,25,26.5,50.7,34,374.0,3060,34.0,62.0,50.0,112.0,60.0,2.0,3.0,66.0,0.0,52.9,50.6,38.4,89.0,574.0,1303.0,1.82,1.47,3.29,1.76,3.24,1.56,1.13,2.69,1.49,2.62,Bundesliga 2022-2023
vs Wolfsburg,28,26.5,49.4,34,374.0,3060,34.0,45.0,33.0,78.0,41.0,4.0,7.0,78.0,2.0,51.3,45.8,36.3,82.2,467.0,1157.0,1.32,0.97,2.29,1.21,2.18,1.51,1.07,2.58,1.35,2.42,Bundesliga 2022-2023
vs Arsenal,26,26.7,40.1,38,418.0,3420,38.0,42.0,27.0,69.0,39.0,3.0,5.0,84.0,1.0,42.0,38.0,31.6,69.6,510.0,907.0,1.11,0.71,1.82,1.03,1.74,1.1,0.83,1.93,1.0,1.83,Premier League 2022-2023
vs Aston Villa,26,26.5,50.6,38,418.0,3420,38.0,42.0,25.0,67.0,37.0,5.0,6.0,85.0,3.0,52.5,47.9,36.1,84.0,608.0,1323.0,1.11,0.66,1.76,0.97,1.63,1.38,0.95,2.33,1.26,2.21,Premier League 2022-2023
vs Bournemouth,31,26.6,59.9,38,418.0,3420,38.0,68.0,49.0,117.0,62.0,6.0,7.0,51.0,0.0,63.8,58.3,45.3,103.6,810.0,1988.0,1.79,1.29,3.08,1.63,2.92,1.68,1.19,2.87,1.54,2.73,Premier League 2022-2023
vs Brentford,25,26.6,56.6,38,418.0,3420,38.0,43.0,30.0,73.0,41.0,2.0,2.0,61.0,1.0,48.8,47.6,35.7,83.3,741.0,1540.0,1.13,0.79,1.92,1.08,1.87,1.28,0.94,2.22,1.25,2.19,Premier League 2022-2023
vs Brighton,29,26.5,39.5,38,418.0,3420,38.0,47.0,34.0,81.0,41.0,6.0,8.0,92.0,1.0,50.2,43.7,33.7,77.4,527.0,1026.0,1.24,0.89,2.13,1.08,1.97,1.32,0.89,2.21,1.15,2.04,Premier League 2022-2023
vs Chelsea,32,26.6,41.0,38,418.0,3420,38.0,44.0,32.0,76.0,43.0,1.0,1.0,69.0,1.0,52.5,51.7,39.9,91.6,593.0,1203.0,1.16,0.84,2.0,1.13,1.97,1.38,1.05,2.43,1.36,2.41,Premier League 2022-2023
vs Crystal Palace,26,26.6,53.9,38,418.0,3420,38.0,46.0,32.0,78.0,42.0,4.0,4.0,83.0,3.0,48.1,44.9,34.5,79.4,590.0,1592.0,1.21,0.84,2.05,1.11,1.95,1.26,0.91,2.17,1.18,2.09,Premier League 2022-2023
vs Everton,28,26.5,57.4,38,418.0,3420,38.0,57.0,36.0,93.0,52.0,5.0,6.0,76.0,1.0,65.5,60.9,45.5,106.4,752.0,1678.0,1.5,0.95,2.45,1.37,2.32,1.72,1.2,2.92,1.6,2.8,Premier League 2022-2023
vs Fulham,29,26.7,51.3,38,418.0,3420,38.0,51.0,30.0,81.0,44.0,7.0,8.0,57.0,5.0,63.6,57.8,43.0,100.8,559.0,1406.0,1.34,0.79,2.13,1.16,1.95,1.67,1.13,2.81,1.52,2.65,Premier League 2022-2023
vs Leeds United,29,26.7,53.1,38,418.0,3420,38.0,77.0,50.0,127.0,72.0,5.0,6.0,66.0,3.0,67.1,62.4,49.8,112.2,596.0,1469.0,2.03,1.32,3.34,1.89,3.21,1.77,1.31,3.08,1.64,2.95,Premier League 2022-2023
